il,ilce,Olumlu,Olumsuz,,REFARANDUMDA OY KULLANAN ﬁEH›RLER›N EVET - HAYIR OY ORANLARI,,,,,,,
B›LEC›K,YEN›PAZAR,1451,856,,,,,,,,,
B›NG÷L,,95987,36273,,,,,,,,,
B›NG÷L,ADAKLI,3132,1105,,,,,,,,,
B›NG÷L,GEN«,15616,2527,,,,,,,,,
B›NG÷L,KARLIOVA,5788,6022,,,,,,,,,
B›NG÷L,K›–I,1271,1371,,,,,,,,,
B›NG÷L,MERKEZ,55040,21514,,,,,,,,,
B›NG÷L,SOLHAN,14309,2048,,,,,,,,,
B›NG÷L,YAYLADERE,335,533,,,,,,,,,
B›NG÷L,YED›SU,496,1153,,,,,,,,,
B›TL›S,,87868,60187,,,,,,,,,
B›TL›S,AD›LCEVAZ,6694,5433,,,,,,,,,
B›TL›S,AHLAT,9562,8042,,,,,,,,,
B›TL›S,G‹ROYMAK,11072,8682,,,,,,,,,
B›TL›S,H›ZAN,9040,4379,,,,,,,,,
B›TL›S,MERKEZ,18346,12235,,,,,,,,,
B›TL›S,MUTK›,12153,1943,,,,,,,,,
B›TL›S,TATVAN,21001,19473,,,,,,,,,
BOLU,,120685,73162,,,,,,,,,
BOLU,D÷RTD›VAN,4096,437,,,,,,,,,
BOLU,GEREDE,19836,2620,,,,,,,,,
BOLU,G÷YN‹K,8258,2352,,,,,,,,,
BOLU,KIBRISCIK,1157,1054,,,,,,,,,
BOLU,MENGEN,5041,4035,,,,,,,,,
BOLU,MERKEZ,67754,55302,,,,,,,,,
BOLU,MUDURNU,8204,5073,,,,,,,,,
BOLU,SEBEN,2417,1345,,,,,,,,,
BOLU,YEN›«A–A,3922,944,,,,,,,,,
BURDUR,,87451,81550,,,,,,,,,
BURDUR,A–LASUN,3835,1842,,,,,,,,,
BURDUR,ALTINYAYLA,2656,767,,,,,,,,,
BURDUR,BUCAK,24913,16238,,,,,,,,,
BURDUR,«AVDIR,4131,3898,,,,,,,,,
BURDUR,«ELT›K«›,2380,1422,,,,,,,,,
BURDUR,G÷LH›SAR,9347,4649,,,,,,,,,
BURDUR,KARAMANLI,2263,3231,,,,,,,,,
BURDUR,KEMER,1515,859,,,,,,,,,
BURDUR,MERKEZ,28983,38080,,,,,,,,,
BURDUR,TEFENN›,3107,3675,,,,,,,,,
BURDUR,YEﬁ›LOVA,4321,6889,,,,,,,,,
BURSA,,987929,868865,,,,,,,,,
BURSA,B‹Y‹KORHAN,5658,1575,,,,,,,,,
BURSA,GEML›K,31956,37897,,,,,,,,,
BURSA,G‹RSU,32742,15454,,,,,,,,,
BURSA,HARMANCIK,2919,1651,,,,,,,,,
BURSA,›NEG÷L,109500,47008,,,,,,,,,
BURSA,›ZN›K,15169,14296,,,,,,,,,
BURSA,KARACABEY,24673,28933,,,,,,,,,
BURSA,KELES,6182,2596,,,,,,,,,
BURSA,KESTEL,21046,17305,,,,,,,,,
BURSA,MUDANYA,22768,38151,,,,,,,,,
BURSA,MUSTAFAKEMALPAﬁA,33927,34409,,,,,,,,,
BURSA,N›L‹FER,101045,169990,,,,,,,,,
BURSA,ORHANEL›,8855,5084,,,,,,,,,
BURSA,ORHANGAZ›,25789,26036,,,,,,,,,
BURSA,OSMANGAZ›,292003,248444,,,,,,,,,
BURSA,YEN›ﬁEH›R,17904,17838,,,,,,,,,
BURSA,YILDIRIM,235793,162198,,,,,,,,,
